Timestamp,Injection_Temperature,Injection_Pressure,Cycle_Time,Cooling_Time,Material_Viscosity,Ambient_Temperature,Machine_Age,Operator_Experience,Maintenance_Hours,Shift,Machine_Type,Material_Grade,Day_of_Week,Temperature_Pressure_Ratio,Total_Cycle_Time,Efficiency_Score,Machine_Utilization,Parts_Per_Hour
2023-01-01 00:00:00,221.0,136.0,28.7,13.6,375.5,28.0,3.8,11.2,64,Evening,Type_B,Economy,Thursday,1.625,42.3,0.063,0.51,36.5
2023-01-01 01:00:00,213.3,128.9,34.5,14.0,215.8,22.6,6.8,6.3,58,Night,Type_A,Standard,Wednesday,1.655,48.5,0.037,0.389,29.9
2023-01-01 02:00:00,222.8,115.9,19.9,9.5,307.0,25.3,4.2,9.6,47,Day,Type_A,Standard,Monday,1.922,29.4,0.061,0.551,56.9
2023-01-01 03:00:00,233.3,105.3,39.2,13.1,137.8,26.0,9.2,8.6,49,Evening,Type_A,Premium,Saturday,2.215,52.3,0.054,0.293,31.0
2023-01-01 04:00:00,212.2,125.5,45.0,9.9,298.2,23.6,6.2,23.0,49,Night,Type_B,Premium,Monday,1.691,54.9,0.145,0.443,15.0
2023-01-01 05:00:00,212.2,120.9,45.0,12.2,192.3,21.5,7.3,25.8,49,Night,Type_A,Standard,Saturday,1.755,57.2,0.162,0.388,15.0
2023-01-01 06:00:00,234.0,128.4,21.5,8.8,268.3,18.4,8.5,88.0,60,Day,Type_A,Standard,Wednesday,1.822,30.3,0.513,0.302,63.4
2023-01-01 07:00:00,224.2,124.5,27.8,8.0,227.2,24.6,3.8,7.5,52,Evening,Type_A,Standard,Friday,1.8,35.8,0.046,0.55,39.8
2023-01-01 08:00:00,209.4,130.7,45.0,11.0,363.6,21.7,3.2,31.8,54,Day,Type_A,Premium,Sunday,1.601,56.0,0.193,0.575,25.4
2023-01-01 09:00:00,221.5,107.0,33.9,11.7,188.2,23.7,13.3,52.0,61,Evening,Type_A,Standard,Tuesday,2.071,45.6,0.301,0.078,37.6
2023-01-01 10:00:00,209.4,134.8,45.0,11.0,295.4,20.9,7.1,25.6,43,Night,Type_C,Standard,Thursday,1.554,56.0,0.168,0.415,15.0
2023-01-01 11:00:00,209.4,118.0,23.9,9.0,225.0,22.9,6.8,9.8,59,Evening,Type_A,Standard,Saturday,1.775,32.9,0.058,0.387,42.2
2023-01-01 12:00:00,217.9,146.1,45.0,11.0,233.3,23.5,1.5,10.1,43,Night,Type_B,Economy,Saturday,1.491,56.0,0.066,0.707,15.0
2023-01-01 13:00:00,192.0,104.7,23.4,12.7,231.6,24.0,8.0,2.2,49,Day,Type_A,Standard,Thursday,1.835,36.1,0.014,0.354,35.5
2023-01-01 14:00:00,194.3,141.0,38.8,11.9,189.9,21.3,8.8,11.9,44,Night,Type_B,Premium,Friday,1.378,50.7,0.078,0.325,17.7
2023-01-01 15:00:00,208.3,118.0,39.2,12.5,243.7,26.0,8.8,41.9,49,Evening,Type_B,Economy,Saturday,1.765,51.6,0.264,0.311,24.5
2023-01-01 16:00:00,202.8,105.2,30.5,10.3,240.1,22.4,10.9,2.5,49,Day,Type_A,Standard,Saturday,1.928,40.9,0.015,0.206,29.9
2023-01-01 17:00:00,218.8,107.7,43.2,14.9,263.1,20.3,3.5,8.4,57,Evening,Type_C,Standard,Saturday,2.031,58.1,0.05,0.549,15.0
2023-01-01 18:00:00,204.1,110.2,43.6,9.1,251.0,23.5,4.5,37.7,55,Day,Type_B,Premium,Wednesday,1.852,52.7,0.228,0.506,21.6
2023-01-01 19:00:00,198.1,121.4,41.9,13.2,310.9,23.8,12.4,46.8,67,Day,Type_C,Standard,Sunday,1.632,55.1,0.259,0.117,15.9
2023-01-01 20:00:00,232.6,122.8,30.4,15.0,322.8,24.1,14.3,,60,Night,Type_B,Standard,Wednesday,1.893,45.3,0.112,0.035,33.1
2023-01-01 21:00:00,212.3,106.4,28.5,13.2,178.5,26.5,2.9,36.9,55,Day,Type_C,Standard,Monday,1.995,41.7,0.223,0.585,39.3
2023-01-01 22:00:00,215.8,114.6,31.4,11.5,317.5,23.3,8.0,15.7,43,Evening,Type_C,Premium,Wednesday,1.883,42.9,0.103,0.368,33.7
2023-01-01 23:00:00,197.9,147.1,27.3,10.7,171.4,23.6,4.0,6.2,39,Day,Type_C,Premium,Monday,1.345,38.0,0.042,0.59,43.5
2023-01-02 00:00:00,208.5,140.9,45.0,14.6,291.9,21.7,1.8,16.2,53,Day,Type_B,Premium,Monday,1.479,59.6,0.099,0.645,21.1
2023-01-02 01:00:00,216.3,121.5,32.3,8.4,294.7,25.6,5.6,27.0,53,Night,Type_B,Standard,Tuesday,1.78,40.8,0.166,0.463,32.4
2023-01-02 02:00:00,201.2,115.6,38.4,9.6,137.9,24.3,3.0,89.7,51,Day,Type_C,Premium,Monday,1.741,48.0,0.557,0.595,37.9
2023-01-02 03:00:00,219.5,116.8,45.0,11.0,251.6,23.2,10.9,3.1,64,Evening,Type_C,Standard,Friday,1.879,56.0,0.018,0.184,15.0
2023-01-02 04:00:00,207.8,124.2,26.9,15.1,212.6,20.2,8.5,22.2,73,Evening,Type_C,Premium,Monday,1.673,42.0,0.118,0.276,39.5
2023-01-02 05:00:00,211.5,99.7,23.1,12.9,194.9,27.0,3.0,13.0,45,Evening,Type_A,Standard,Tuesday,2.122,36.1,0.084,0.619,39.8
